Statistical profiling result from isolate-0x102001600-v8-67892.log, (160849 ticks, 10639 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
  110844   68.9%          /usr/lib/system/libsystem_kernel.dylib
    595    0.4%          /usr/lib/system/libsystem_malloc.dylib
    302    0.2%          /usr/lib/system/libsystem_platform.dylib
    209    0.1%          /usr/lib/system/libsystem_pthread.dylib
    134    0.1%          /usr/lib/system/libsystem_c.dylib
     32    0.0%          /usr/lib/system/libsystem_m.dylib
     21    0.0%          /usr/lib/libc++abi.dylib

 [JavaScript]:
   ticks  total  nonlib   name
    424    0.3%    0.9%  LazyCompile: *RedisClient.internal_send_command /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/redis/index.js:864:56
    353    0.2%    0.7%  LazyCompile: *Socket._writeGeneric net.js:675:42
    348    0.2%    0.7%  LazyCompile: *nextTick internal/process/next_tick.js:140:20
    317    0.2%    0.7%  LazyCompile: *serializeInto /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/bson/lib/bson/parser/serializer.js:574:43
    315    0.2%    0.6%  Stub: StringAddStub
    294    0.2%    0.6%  LazyCompile: *calculateElement /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/bson/lib/bson/parser/calculate_size.js:49:26
    269    0.2%    0.6%  KeyedLoadIC: A keyed load IC from the snapshot {1}
    246    0.2%    0.5%  Stub: FastArrayPushStub
    242    0.2%    0.5%  Builtin: FunctionPrototypeHasInstance
    240    0.1%    0.5%  LazyCompile: *RedisClient.write /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/redis/index.js:1009:40
    218    0.1%    0.4%  Stub: CEntryStub
    179    0.1%    0.4%  Builtin: CallFunction_ReceiverIsAny
    160    0.1%    0.3%  Builtin: ArgumentsAdaptorTrampoline
    147    0.1%    0.3%  Stub: JSEntryStub
    141    0.1%    0.3%  LazyCompile: *onwrite _stream_writable.js:351:17
    139    0.1%    0.3%  LazyCompile: *map_to_obj /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/msgpack-lite/lib/read-format.js:43:20
